,Unnamed: 0,Ticker,ESG Score,Country
2331,2331,RYTRX,27.45,USA
2332,2332,FACDX,26.88,USA
2333,2333,WFDRX,25.53,USA
2334,2334,MAGLX,20.95,USA
2335,2335,VTMGX,23.16,USA
2336,2336,NBGNX,23.3,USA
2337,2337,ACLCX,24.52,USA
2338,2338,EKHYX,24.44,USA
2339,2339,VFGIX,21.04,USA
2340,2340,BARAX,21.79,USA
2341,2341,NGDCX,22.12,USA
2342,2342,PPUPX,21.63,Sweden
2343,2343,TRMCX,26.55,USA
2344,2344,TWIEX,19.6,USA
2345,2345,ISIPX,22.05,USA
2346,2346,FREGX,16.07,USA
2347,2347,FALIX,24.52,USA
2348,2348,PCVCX,27.35,USA
2349,2349,VHCOX,23.27,USA
2350,2350,RSLFX,26.16,USA
2351,2351,PALLX,21.18,USA
2352,2352,BESIX,28.72,USA
2353,2353,PFIPX,23.93,USA
2354,2354,HOTFX,20.83,USA
2355,2355,NBIAX,23.44,USA
2356,2356,TWCIX,20.26,USA
2357,2357,HSGFX,23.76,USA
2358,2358,RYIRX,24.81,USA
2359,2359,PLARX,27.71,USA
2360,2360,HGOSX,22.8,USA
