,Ticker,ESG Score
2134,JCVSX,25.64
2135,MIQPX,21.61
2136,LBRIX,22.01
2137,NDACX,23.9
2138,TSFCX,25.18
2139,TILRX,21.14
2140,RSINX,25.98
2141,JRTYX,23.23
2142,MFLDX,24.03
2143,TWCUX,21.51
2144,LBHFX,32.89
2145,AIGPX,24.52
2146,VICSX,24.15
2147,CBMAX,24.85
2148,ITYYX,20.32
2149,LVOYX,25.7
2150,WFLWX,24.52
2151,QALTX,24.38
2152,GHACX,32.7
2153,PRGSX,23.66
2154,TEPLX,23.07
2155,FLATX,31.04
2156,FDEQX,21.11
2157,CIVVX,23.84
2158,YMLA.SG,23.23
2159,LUSAX,28.41
2160,LMPEX,21.68
2161,ECDIX,22.0
2162,NEFOX,24.65
2163,IEMYX,24.55
2164,TRIEX,22.34
2165,PZASX,22.97
2166,WIREX,19.97
2167,JARTX,21.33
2168,DHMIX,27.54
2169,MRESX,16.15
2170,FCISX,27.6
2171,NWNAX,23.87
2172,LAVQX,23.97
2173,CLSPX,22.5
2174,UAPIX,29.3
2175,JALBX,24.67
2176,VVOIX,25.8
2177,QISGX,28.75
2178,MQIFX,24.4
2179,CGRWX,26.54
2180,CAMZX,26.74
2181,WFPDX,22.01
2182,CWMEX,23.2
2183,GSROX,28.9
2184,ADGRX,21.23
2185,VGSNX,15.86
2186,LGLFX,23.6
2187,WFIOX,22.05
2188,FRVLX,29.21
2189,JRTDX,23.68
2190,PINQX,24.21
2191,RGIAX,23.28
2192,RRTBX,23.99
2193,RICGX,23.49
2194,ESVCX,24.26
2195,DNEMX,26.22
2196,IICWX,22.09
2197,AFGGX,22.46
2198,ISSPX,23.03
2199,WPOIX,21.91
2200,VVOCX,25.8
2201,ZSCCX,29.55
2202,ICMBX,22.44
2203,AGGWX,32.03
2204,UIPMX,33.31
2205,LPJKX,23.78
2206,WMMRX,17.67
2207,TEDMX,25.78
2208,OIERX,22.92
2209,QICNX,22.4
2210,BRBPX,22.32
2211,ACSYX,26.27
2212,FMIMX,23.75
2213,SVAIX,25.13
2214,JSMGX,27.02
2215,HLGEX,22.84
2216,JGMAX,27.02
2217,RWIFX,22.7
2218,LZSCX,24.98
2219,PTSGX,21.59
2220,FFACX,24.67
2221,CNCIX,25.45
2222,VSCOX,27.78
2223,FBTIX,30.56
2224,IFACX,24.39
2225,BOPRX,21.41
2226,PSVIX,27.35
2227,FCCGX,27.47
2228,BWLCX,23.2
2229,TIQRX,22.69
2230,PVADX,27.35
2231,QILGX,20.32
2232,WGIFX,22.7
2233,BUFBX,23.39
2234,MGXIX,22.55
2235,JLDGX,24.81
2236,MFOIX,21.63
2237,AADTX,23.45
2238,MDBAX,25.01
2239,MDISX,24.7
2240,EIVFX,24.11
2241,JVLAX,23.43
2242,GAGCX,22.93
2243,S3093.MC,23.13
2244,WMGRX,23.41
2245,ANORX,26.5
2246,GNDIX,22.08
2247,JPPNX,24.85
2248,LAMAX,20.88
2249,JICAX,17.61
2250,WHGIX,23.97
2251,SCHAX,23.68
2252,WAINX,24.7
2253,RGAEX,23.63
2254,AVFIX,28.39
2255,PIEJX,25.88
2256,JDVOX,23.27
2257,IVAEX,23.82
2258,FRBFX,29.23
2259,SBSPX,21.76
2260,TGVRX,21.75
2261,IJMSX,23.68
2262,FSENX,34.83
2263,PNBCX,22.31
2264,FLPKX,21.88
2265,JORCX,22.77
2266,VWIGX,21.91
2267,TOLIX,22.98
2268,TSGLX,23.11
2269,SUHAX,26.31
2270,FGEAX,20.35
2271,OPWAF.AS,23.41
2272,HHCZX,26.91
2273,DLPCX,17.25
2274,DFIVX,24.81
2275,VDADX,22.1
2276,JAVTX,27.22
2277,VACVX,25.34
2278,MLABX,20.01
2279,DTMIX,24.67
2280,ROBB.AS,20.05
2281,QISCX,28.84
2282,PHPIX,31.79
2283,HSLYX,28.82
2284,BIOIX,23.7
2285,FBALX,23.49
2286,TMCIX,25.77
2287,NWWHX,23.9
2288,NBMBX,23.42
2289,HILRX,25.94
2290,PURZX,16.16
2291,BIFRX,22.74
2292,AMRMX,22.63
2293,WFQFX,24.52
2294,HMVJX,26.31
2295,ERSMX,23.41
2296,VSMIX,27.87
2297,FVRMX,30.7
2298,DRLYX,15.01
2299,HQICX,24.26
2300,CNGAX,22.69
2301,FHKCX,25.04
2302,SCDGX,22.02
2303,OAKLX,23.59
2304,IVKIX,26.27
2305,PABBX,22.97
2306,ARTGX,22.13
2307,VTPSX,24.19
2308,ISCSX,22.06
2309,JIVRX,23.1
2310,WPSIX,20.1
2311,FIDSX,25.41
2312,RYVPX,28.19
2313,VIVIX,24.15
2314,TOLCX,22.98
2315,MPSSX,29.04
2316,JLHHX,23.92
2317,JAAGX,22.43
2318,SECIX,26.19
2319,FQUAX,24.78
2320,KGDAX,27.14
2321,MRRFX,24.14
2322,IJPTX,23.7
2323,FRINX,20.19
2324,VSEQX,24.02
2325,RWIBX,22.7
2326,RYMIX,20.8
2327,QUSOX,25.65
2328,PCANX,21.59
2329,EKBCX,24.43
2330,OEICX,22.05
2331,RYTRX,27.45
2332,FACDX,26.88
2333,WFDRX,25.53
2334,MAGLX,20.95
2335,VTMGX,23.16
2336,NBGNX,23.3
2337,ACLCX,24.52
2338,EKHYX,24.44
2339,VFGIX,21.04
2340,BARAX,21.79
2341,NGDCX,22.12
2342,PPUPX,21.63
2343,TRMCX,26.55
2344,TWIEX,19.6
2345,ISIPX,22.05
2346,FREGX,16.07
2347,FALIX,24.52
2348,PCVCX,27.35
2349,VHCOX,23.27
2350,RSLFX,26.16
2351,PALLX,21.18
2352,BESIX,28.72
2353,PFIPX,23.93
2354,HOTFX,20.83
2355,NBIAX,23.44
2356,TWCIX,20.26
2357,HSGFX,23.76
2358,RYIRX,24.81
2359,PLARX,27.71
2360,HGOSX,22.8
2361,FRTSX,22.63
2362,VAGGX,22.29
2363,RYPDX,25.5
2364,VEIRX,24.38
2365,FAGNX,34.82
2366,FBFZX,26.67
2367,PRJZX,21.12
2368,EARAX,24.52
2369,PJGRX,21.04
2370,IARYX,15.76
2371,SCAYX,22.64
2372,DRDIX,22.29
2373,THDAX,24.77
2374,DFLVX,23.77
